,Model No',MAP@40,Recall at 40,Duration,Recall,Precision,MRR,F-Measure
0,1,0.5449068982531284,0.10384453032887699,0.03020962079366048,0.10006320496809558,0.3822222222222223,0.606111111111111,0.3822222222222223
1,2,0.4515500335936844,0.09421893377043106,0.028745714823404947,0.09061401907053236,0.3488888888888889,0.4880952380952381,0.3488888888888889
2,3,0.6989011190896111,0.12619378793494038,1.78668216864268,0.11965144372525852,0.41,0.8027777777777778,0.41
3,4,0.7106868333753255,0.12792802216917462,1.7914459466934205,0.12133515951952575,0.41666666666666663,0.7972222222222222,0.41666666666666663
4,5,0.7225687305786511,0.1329280221691746,2.0074079036712646,0.12554812248248873,0.43666666666666665,0.7972222222222222,0.43666666666666665
5,6,0.7618261001931637,0.13845432433340782,2.0743747393290204,0.13066988789112133,0.45333333333333325,0.8305555555555555,0.45333333333333325
6,7,0.7771624569580918,0.1397610393969287,1.987428402900696,0.13168772559778352,0.45999999999999996,0.8416666666666667,0.46
